wavelength,flux,model,sky
3802.769,30.305,34.468,0
3803.645,30.296,34.474,0
3804.521,30.287,34.453,0
3805.397,30.277,34.151,0
3806.274,30.268,34.166,0
3807.15,30.259,34.472,0
3808.027,30.25,34.756,0
3808.904,30.24,34.584,8.69
3809.781,30.231,34.348,9.198
3810.658,30.631,34.479,10.154
3811.536,36.877,34.27,10.173
3812.414,37.83,34.254,10.183
3813.291,35.246,34.244,9.822
3814.17,22.053,34.411,9.635
3815.048,32.211,34.57,9.441
3815.926,33.595,34.449,9.044
3816.805,31.198,34.397,8.539
3817.684,36.095,34.176,7.968
3818.563,35.542,34.352,7.632
3819.443,36.759,34.391,7.416
3820.322,33.63,34.084,7.136
3821.202,41.465,33.815,6.882
3822.082,36.497,33.81,6.655
3822.962,37.314,33.913,6.698
3823.843,33.078,33.989,6.644
3824.723,29.936,34.07,6.755
3825.604,34.83,34.072,6.982
3826.485,34.886,33.88,7.377
3827.366,25.473,33.644,7.911
3828.247,35.884,33.552,8.683
3829.129,42.988,33.435,9.64
3830.011,37.385,33.649,10.976
3830.893,34.062,33.761,12.186
3831.775,36.456,33.396,12.598
3832.657,34.879,33.637,11.607
3833.54,34.511,33.601,9.725
3834.423,36.339,33.524,9.029
3835.306,33.143,33.525,8.68
3836.189,34.679,33.514,8.569
3837.072,32.126,33.408,8.382
3837.956,38.134,33.322,8.21
3838.84,31.974,33.404,7.992
3839.724,32.084,33.375,7.718
3840.608,31.331,32.866,7.798
3841.493,31.928,32.437,8.109
3842.377,33.338,32.694,8.477
3843.262,30.143,32.777,8.463
3844.147,29.771,32.512,8.48
3845.032,29.535,32.494,8.886
3845.918,34.75,32.483,9.451
3846.803,28.774,32.335,9.38
3847.689,31.662,32.303,8.402
3848.575,37.35,32.539,7.264
3849.462,36.502,32.532,6.746
3850.348,31.537,32.523,6.888
3851.235,29.991,32.111,7.194
3852.122,33.409,31.776,7.107
3853.009,35.496,32.189,6.952
3853.896,30.7,32.453,6.996
3854.784,31.618,32.254,7.101
3855.671,30.924,31.643,7.131
3856.559,35.346,31.589,6.82
3857.447,32.878,31.811,6.234
3858.336,30.048,31.578,5.558
3859.224,34.758,31.632,5.176
3860.113,33.284,31.169,5.076
3861.002,30.329,30.901,5.215
3861.891,31.662,31.172,5.598
3862.78,31.507,31.338,6.107
3863.67,30.25,30.891,6.487
3864.56,33.043,30.725,6.69
3865.449,32.657,30.47,6.486
3866.34,32.152,30.285,5.971
3867.23,35.138,30.545,5.883
3868.121,34.015,30.77,6.158
3869.011,27.993,30.32,6.217
3869.902,34.232,29.823,6.023
3870.793,31.266,29.729,5.446
3871.685,27.212,29.781,4.921
3872.576,28.151,29.879,4.835
3873.468,29.003,29.866,5.397
3874.36,28.378,29.598,6.344
3875.252,28.991,29.311,7.065
3876.145,29.398,29.448,7.162
3877.037,28.736,29.476,6.493
3877.93,32.935,29.592,5.584
3878.823,27.322,29.532,5.347
3879.717,35.893,29.196,5.479
3880.61,33.331,29.649,5.718
3881.504,28.992,29.484,5.751
3882.398,28.437,29.311,5.583
3883.292,28.931,29.202,5.513
3884.186,26.513,29.326,5.468
3885.08,28.645,29.734,5.29
3885.975,34.718,29.709,4.983
3886.87,28.172,29.597,4.631
3887.765,31.378,29.373,4.463
3888.66,32.005,29.269,4.419
3889.556,30.835,29.346,4.544
3890.451,30.225,29.418,5.114
3891.347,31.761,29.417,5.701
3892.243,30.318,29.75,5.983
3893.14,28.009,29.758,5.757
3894.036,31.738,29.472,5.461
3894.933,30.007,29.204,5.599
3895.83,31.082,29.235,6.261
3896.727,26.33,29.591,6.898
3897.625,29.481,29.397,6.771
3898.522,26.396,29.282,6.435
3899.42,30.458,29.348,6.293
3900.318,30.323,29.354,6.315
3901.216,28.986,29.22,6.395
3902.114,32.386,29.234,6.557
3903.013,29.978,29.286,6.63
3903.912,26.647,29.429,7.028
3904.811,34.545,29.542,7.959
3905.71,29.619,29.499,8.701
3906.609,30.995,29.446,9.467
3907.509,31.445,29.736,10.14
3908.409,30.373,29.606,10.6
3909.309,28.375,29.455,10.871
3910.209,26.539,29.572,10.843
3911.11,28.651,29.539,10.75
3912.01,30.572,29.166,10.755
3912.911,32.624,29.421,10.736
3913.812,32.37,29.452,10.306
3914.714,32.876,29.339,9.731
3915.615,27.538,29.712,9.186
3916.517,31.384,29.855,8.627
3917.419,33.105,29.223,8.667
3918.321,31.589,29.577,8.949
3919.223,31.833,29.324,8.735
3920.126,30.599,29.564,7.839
3921.029,29.793,29.948,6.662
3921.931,28.514,29.784,6.159
3922.835,30.088,29.388,6.228
3923.738,30.433,29.923,6.769
3924.642,24.581,29.552,6.868
3925.545,29.455,29.26,6.51
3926.449,34.449,29.283,6.045
3927.354,30.856,29.598,5.557
3928.258,29.886,30.069,5.172
3929.163,29.548,30.146,4.581
3930.067,34.167,29.956,4.12
3930.972,30.041,29.888,4.084
3931.878,29.504,29.775,4.419
3932.783,25.888,29.588,4.801
3933.689,26.692,29.579,4.99
3934.595,30.455,29.752,4.251
3935.501,30.629,29.365,4.049
3936.407,30.449,29.437,4.153
3937.314,33.868,29.708,4.22
3938.22,31.071,29.552,4.74
3939.127,32.466,29.195,5.795
3940.034,33.195,29.697,7
3940.942,31.706,29.337,8.06
3941.849,32.293,29.565,8.711
3942.757,29.466,29.78,8.975
3943.665,26.706,29.519,8.909
3944.573,29.809,29.285,8.726
3945.481,32.438,29.495,8.509
3946.39,29.175,29.468,8.105
3947.299,31.794,29.67,7.808
3948.208,29.231,29.863,7.752
3949.117,35.488,29.884,7.65
3950.026,33.256,29.811,7.282
3950.936,30.929,29.633,7.127
3951.846,32.282,29.73,7.271
3952.756,33.789,29.828,7.337
3953.666,32.915,29.551,7.147
3954.577,31.099,29.383,6.807
3955.487,30.804,29.719,6.503
3956.398,31.077,29.58,6.376
3957.309,34.282,29.666,6.51
3958.221,27.945,29.939,6.657
3959.132,29.753,29.739,6.945
3960.044,27.856,29.412,7.152
3960.956,29.289,29.516,6.88
3961.868,31.01,29.252,6.359
3962.78,28.766,29.318,5.784
3963.693,32.053,29.417,5.351
3964.606,30.271,29.605,4.94
3965.519,26.41,29.712,4.462
3966.432,28.2,29.506,4.181
3967.345,24.356,29.395,4.053
3968.259,23.262,29.72,3.938
3969.173,27.011,29.513,3.761
3970.087,27.604,29.493,3.749
3971.001,28.388,29.653,4.105
3971.915,33.397,29.527,4.719
3972.83,31.344,29.805,5.213
3973.745,24.471,29.405,5.66
3974.66,32.335,29.708,6.21
3975.575,30.508,29.863,6.777
3976.491,27.138,29.599,7.199
3977.407,29.537,29.534,7.373
3978.323,33.651,29.491,7.307
3979.239,32.405,29.599,7.469
3980.155,31.507,29.715,7.743
3981.072,33.896,29.719,7.539
3981.988,29.46,29.6,7.045
3982.905,30.295,29.55,6.879
3983.823,31.25,29.859,7.301
3984.74,30.518,29.963,7.392
3985.658,29.339,29.974,6.932
3986.576,30.171,29.937,6.312
3987.494,31.499,29.965,6.056
3988.412,30.967,30.083,6.842
3989.33,29.403,29.987,8.154
3990.249,29.577,29.827,8.226
3991.168,31.449,30.008,7.282
3992.087,31.747,30.068,6.639
3993.006,29.747,29.994,6.825
3993.926,29.702,30.262,7.351
3994.846,31.389,30.779,7.315
3995.766,28.936,30.602,6.917
3996.686,29.699,30.534,6.653
3997.606,31.102,30.531,6.7
3998.527,29.351,30.737,7.075
3999.447,28.898,31.216,7.836
4000.369,30.217,31.05,8.142
4001.29,34.291,30.624,7.931
4002.211,31.743,30.507,7.401
4003.133,34.222,30.751,7.172
4004.055,31.344,31.129,7.368
4004.977,33.701,31.322,7.66
4005.899,34.066,31.106,7.615
4006.822,31.385,30.843,7.328
4007.744,31.092,31.345,7.914
4008.667,33.1,31.384,9.594
4009.59,35.123,31.11,10.616
4010.514,31.171,31.477,10.331
4011.437,30.763,31.507,9.868
4012.361,33.479,31.436,9.766
4013.285,33.421,31.466,9.74
4014.209,30.325,31.487,9.748
4015.134,29.061,31.491,9.676
4016.058,30.674,31.472,9.053
4016.983,33.61,31.254,8.377
4017.908,35.363,31.435,8.157
4018.833,35.378,31.243,8.107
4019.759,32.047,31.573,8.784
4020.685,34.826,31.854,9.818
4021.61,34.477,31.298,10.354
4022.537,30.712,31.775,9.842
4023.463,32.984,31.581,8.878
4024.389,34.636,31.14,8.659
4025.316,32.902,31.149,8.944
4026.243,32.603,31.383,8.664
4027.17,33.451,31.321,7.716
4028.098,33.908,31.285,7.487
4029.025,34.905,31.005,7.949
4029.953,33.062,31.012,7.891
4030.881,34.203,31.294,7.382
4031.809,32.889,31.259,7.516
4032.738,32.199,30.786,7.827
4033.667,32.886,31.04,7.713
4034.596,33.856,31.38,7.411
4035.525,33.735,31.202,7.322
4036.454,31.756,31.022,7.569
4037.383,29.625,31.004,8.044
4038.313,32.252,30.931,8.266
4039.243,31.652,30.991,8.269
4040.173,32.362,30.909,8.564
4041.104,32.156,30.901,9.229
4042.034,31.32,30.895,9.863
4042.965,30.564,30.822,10.421
4043.896,32.723,30.842,10.719
4044.827,33.374,31.141,11.118
4045.759,30.651,30.938,14.446
4046.691,34.616,30.585,21.777
4047.622,29.982,30.597,27.019
4048.555,36.132,30.86,24.176
4049.487,33.026,30.904,16.445
4050.419,33.764,30.743,11.251
4051.352,30.796,30.733,10.064
4052.285,30.212,30.605,9.668
4053.218,30.895,30.671,9.042
4054.152,30.951,30.915,9.04
4055.085,31.36,30.93,9.799
4056.019,28.548,30.664,9.759
4056.953,32.342,30.678,8.994
4057.887,30.492,31.034,8.206
4058.822,31.351,31.1,7.967
4059.757,31.076,30.915,8.777
4060.692,29.953,30.978,9.568
4061.627,31.42,31.126,9.405
4062.562,32.305,31.183,9.057
4063.498,31.017,31.457,9.274
4064.433,30.342,31.47,10.502
4065.369,31.03,31.394,11.669
4066.305,31.73,31.559,11.752
4067.242,30.201,31.265,10.573
4068.178,31.909,31.452,9.753
4069.115,31.641,31.31,9.821
4070.052,31.905,31.282,9.953
4070.99,30.249,31.467,9.325
4071.927,29.1,31.524,8.984
4072.865,29.663,31.679,9.025
4073.803,30.242,31.6,8.606
4074.741,30.953,31.549,8.628
4075.679,31.64,31.634,9.298
4076.618,28.508,31.601,10.727
4077.557,32.97,31.411,12.098
4078.496,32.604,31.666,12.112
4079.435,28.969,31.571,11.006
4080.374,32.198,31.657,10.514
4081.314,32.403,31.743,10.921
4082.254,31.249,31.728,10.672
4083.194,32.634,31.753,9.329
4084.134,31.69,31.78,9
4085.075,30.408,32.046,9.098
4086.015,31.343,32.112,9.159
4086.956,30.326,32.173,9.3
4087.898,32.732,32.163,9.625
4088.839,27.585,31.952,9.734
4089.781,30.599,32.058,8.929
4090.722,32.634,32.115,8.779
4091.664,32.478,32.282,8.805
4092.607,33.089,32.349,8.375
4093.549,31.01,32.217,8.485
4094.492,28.941,32.134,8.654
4095.435,30.049,32.369,8.211
4096.378,29.303,32.291,7.378
4097.321,31.967,32.072,7.125
4098.265,31.803,32.128,7.626
4099.208,33.274,32.429,7.752
4100.152,33.356,32.464,7.309
4101.097,32.756,31.991,6.85
4102.041,32.109,32.434,6.749
4102.986,30.603,32.117,6.639
4103.931,30.893,31.768,6.472
4104.876,32.539,31.988,6.665
4105.821,31.981,32.339,7.127
4106.766,31.079,32.317,7.635
4107.712,31.285,31.701,7.552
4108.658,30.163,31.89,7.576
4109.604,29.293,32.087,7.857
4110.551,32.093,31.923,7.982
4111.497,34.571,31.882,7.567
4112.444,33.65,31.867,7.328
4113.391,34.127,31.725,7.353
4114.338,31.681,31.626,7.398
4115.286,31.699,31.771,7.298
4116.233,34.005,31.92,7.425
4117.181,33.749,31.842,6.604
4118.13,35.622,31.963,6.539
4119.078,31.367,31.941,6.292
4120.026,30.844,31.613,7.174
4120.975,33.072,31.328,7.507
4121.924,31.205,31.452,7.711
4122.873,29.554,31.785,7.987
4123.823,33.723,31.508,8.559
4124.772,31.902,31.303,8.925
4125.722,32.77,31.714,8.845
4126.672,31.445,31.653,8.565
4127.623,32.007,31.366,8.43
4128.573,31.129,31.662,8.595
4129.524,31.93,31.414,8.545
4130.475,30.998,31.379,8.66
4131.426,30.205,31.482,8.479
4132.378,32.058,31.498,8.335
4133.329,30.458,31.375,8.525
4134.281,31.243,31.293,8.35
